_id,No.,Type,Line,Station_Code,Station_Name,Passenger_Arrival,Passenger_Departure,Date
839,839,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A7,ราชปรารภ,883,846,2022-04-15T00:00:00
840,840,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A8,พญาไท,3691,4207,2022-04-15T00:00:00
841,841,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A1,สุวรรณภูมิ,5299,3423,2022-04-16T00:00:00
842,842,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A2,ลาดกระบัง,3391,3497,2022-04-16T00:00:00
843,843,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A3,บ้านทับช้าง,758,786,2022-04-16T00:00:00
844,844,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A4,หัวหมาก,1369,1457,2022-04-16T00:00:00
845,845,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A5,รามคำแหง,1557,2029,2022-04-16T00:00:00
846,846,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A6,มักกะสัน,2782,3230,2022-04-16T00:00:00
847,847,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A7,ราชปรารภ,987,914,2022-04-16T00:00:00
848,848,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A8,พญาไท,3842,4649,2022-04-16T00:00:00
849,849,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A1,สุวรรณภูมิ,6362,3866,2022-04-17T00:00:00
850,850,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A2,ลาดกระบัง,3532,3836,2022-04-17T00:00:00
851,851,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A3,บ้านทับช้าง,722,744,2022-04-17T00:00:00
852,852,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A4,หัวหมาก,1435,1649,2022-04-17T00:00:00
853,853,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A5,รามคำแหง,1578,2192,2022-04-17T00:00:00
854,854,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A6,มักกะสัน,2972,3537,2022-04-17T00:00:00
855,855,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A7,ราชปรารภ,938,873,2022-04-17T00:00:00
856,856,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A8,พญาไท,4269,5111,2022-04-17T00:00:00
857,857,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A1,สุวรรณภูมิ,6360,4204,2022-04-18T00:00:00
858,858,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A2,ลาดกระบัง,5882,5971,2022-04-18T00:00:00
859,859,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A3,บ้านทับช้าง,1884,1786,2022-04-18T00:00:00
860,860,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A4,หัวหมาก,2789,2939,2022-04-18T00:00:00
861,861,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A5,รามคำแหง,3128,3690,2022-04-18T00:00:00
862,862,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A6,มักกะสัน,5404,6168,2022-04-18T00:00:00
863,863,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A7,ราชปรารภ,1549,1555,2022-04-18T00:00:00
864,864,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A8,พญาไท,6778,7461,2022-04-18T00:00:00
865,865,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A1,สุวรรณภูมิ,6698,4032,2022-04-19T00:00:00
866,866,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A2,ลาดกระบัง,5731,6067,2022-04-19T00:00:00
867,867,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A3,บ้านทับช้าง,1833,1849,2022-04-19T00:00:00
868,868,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A4,หัวหมาก,2881,3011,2022-04-19T00:00:00
869,869,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A5,รามคำแหง,3308,3770,2022-04-19T00:00:00
870,870,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A6,มักกะสัน,5359,6190,2022-04-19T00:00:00
871,871,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A7,ราชปรารภ,1556,1609,2022-04-19T00:00:00
872,872,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A8,พญาไท,6712,7550,2022-04-19T00:00:00
873,873,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A1,สุวรรณภูมิ,5633,4323,2022-04-20T00:00:00
874,874,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A2,ลาดกระบัง,6121,5972,2022-04-20T00:00:00
875,875,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A3,บ้านทับช้าง,2071,1865,2022-04-20T00:00:00
876,876,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A4,หัวหมาก,2967,2930,2022-04-20T00:00:00
877,877,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A5,รามคำแหง,3401,3587,2022-04-20T00:00:00
878,878,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A6,มักกะสัน,5420,6219,2022-04-20T00:00:00
879,879,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A7,ราชปรารภ,1678,1675,2022-04-20T00:00:00
880,880,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A8,พญาไท,6749,7469,2022-04-20T00:00:00
881,881,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A1,สุวรรณภูมิ,5360,4394,2022-04-21T00:00:00
882,882,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A2,ลาดกระบัง,5871,6228,2022-04-21T00:00:00
883,883,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A3,บ้านทับช้าง,1999,1960,2022-04-21T00:00:00
884,884,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A4,หัวหมาก,3153,2969,2022-04-21T00:00:00
885,885,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A5,รามคำแหง,3292,3438,2022-04-21T00:00:00
886,886,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A6,มักกะสัน,5614,5941,2022-04-21T00:00:00
887,887,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A7,ราชปรารภ,1693,1685,2022-04-21T00:00:00
888,888,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A8,พญาไท,6859,7226,2022-04-21T00:00:00
889,889,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A1,สุวรรณภูมิ,5829,4724,2022-04-22T00:00:00
890,890,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A2,ลาดกระบัง,6374,6421,2022-04-22T00:00:00
891,891,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A3,บ้านทับช้าง,2035,1945,2022-04-22T00:00:00
892,892,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A4,หัวหมาก,3120,3111,2022-04-22T00:00:00
893,893,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A5,รามคำแหง,3495,3583,2022-04-22T00:00:00
894,894,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A6,มักกะสัน,5827,6468,2022-04-22T00:00:00
895,895,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A7,ราชปรารภ,1778,1758,2022-04-22T00:00:00
896,896,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A8,พญาไท,7552,8000,2022-04-22T00:00:00
897,897,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A1,สุวรรณภูมิ,4948,4177,2022-04-23T00:00:00
898,898,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A2,ลาดกระบัง,4816,4997,2022-04-23T00:00:00
899,899,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A3,บ้านทับช้าง,1185,1113,2022-04-23T00:00:00
900,900,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A4,หัวหมาก,2150,2071,2022-04-23T00:00:00
901,901,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A5,รามคำแหง,2362,2426,2022-04-23T00:00:00
902,902,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A6,มักกะสัน,4018,4298,2022-04-23T00:00:00
903,903,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A7,ราชปรารภ,1496,1442,2022-04-23T00:00:00
904,904,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A8,พญาไท,5731,6182,2022-04-23T00:00:00
905,905,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A1,สุวรรณภูมิ,4744,3989,2022-04-24T00:00:00
906,906,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A2,ลาดกระบัง,4031,4198,2022-04-24T00:00:00
907,907,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A3,บ้านทับช้าง,884,849,2022-04-24T00:00:00
908,908,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A4,หัวหมาก,1665,1690,2022-04-24T00:00:00
909,909,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A5,รามคำแหง,1874,2066,2022-04-24T00:00:00
910,910,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A6,มักกะสัน,3308,3591,2022-04-24T00:00:00
911,911,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A7,ราชปรารภ,1267,1136,2022-04-24T00:00:00
912,912,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A8,พญาไท,4837,5091,2022-04-24T00:00:00
913,913,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A1,สุวรรณภูมิ,5268,4722,2022-04-25T00:00:00
914,914,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A2,ลาดกระบัง,6210,6464,2022-04-25T00:00:00
915,915,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A3,บ้านทับช้าง,2077,2020,2022-04-25T00:00:00
916,916,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A4,หัวหมาก,3118,3142,2022-04-25T00:00:00
917,917,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A5,รามคำแหง,3437,3532,2022-04-25T00:00:00
918,918,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A6,มักกะสัน,6011,6370,2022-04-25T00:00:00
919,919,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A7,ราชปรารภ,1755,1683,2022-04-25T00:00:00
920,920,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A8,พญาไท,7540,7483,2022-04-25T00:00:00
921,921,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A1,สุวรรณภูมิ,5296,4699,2022-04-26T00:00:00
922,922,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A2,ลาดกระบัง,6396,6356,2022-04-26T00:00:00
923,923,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A3,บ้านทับช้าง,2126,2080,2022-04-26T00:00:00
924,924,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A4,หัวหมาก,3097,3112,2022-04-26T00:00:00
925,925,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A5,รามคำแหง,3459,3554,2022-04-26T00:00:00
926,926,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A6,มักกะสัน,5920,6398,2022-04-26T00:00:00
927,927,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A7,ราชปรารภ,1791,1721,2022-04-26T00:00:00
928,928,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A8,พญาไท,7380,7545,2022-04-26T00:00:00
929,929,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A1,สุวรรณภูมิ,5199,5125,2022-04-27T00:00:00
930,930,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A2,ลาดกระบัง,6266,6422,2022-04-27T00:00:00
931,931,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A3,บ้านทับช้าง,2160,2054,2022-04-27T00:00:00
932,932,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A4,หัวหมาก,3144,2991,2022-04-27T00:00:00
933,933,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A5,รามคำแหง,3708,3481,2022-04-27T00:00:00
934,934,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A6,มักกะสัน,5999,6355,2022-04-27T00:00:00
935,935,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A7,ราชปรารภ,1822,1743,2022-04-27T00:00:00
936,936,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A8,พญาไท,7619,7746,2022-04-27T00:00:00
937,937,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A1,สุวรรณภูมิ,5251,5277,2022-04-28T00:00:00
938,938,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A2,ลาดกระบัง,6350,6417,2022-04-28T00:00:00
939,939,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A3,บ้านทับช้าง,2107,2033,2022-04-28T00:00:00
940,940,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A4,หัวหมาก,3209,3102,2022-04-28T00:00:00
941,941,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A5,รามคำแหง,3775,3702,2022-04-28T00:00:00
942,942,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A6,มักกะสัน,6263,6371,2022-04-28T00:00:00
943,943,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A7,ราชปรารภ,1771,1739,2022-04-28T00:00:00
944,944,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A8,พญาไท,7560,7645,2022-04-28T00:00:00
945,945,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A1,สุวรรณภูมิ,5855,5873,2022-04-29T00:00:00
946,946,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A2,ลาดกระบัง,6965,7032,2022-04-29T00:00:00
947,947,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A3,บ้านทับช้าง,2296,2093,2022-04-29T00:00:00
948,948,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A4,หัวหมาก,3478,3254,2022-04-29T00:00:00
949,949,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A5,รามคำแหง,4086,4017,2022-04-29T00:00:00
950,950,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A6,มักกะสัน,6677,7082,2022-04-29T00:00:00
951,951,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A7,ราชปรารภ,1892,1787,2022-04-29T00:00:00
952,952,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A8,พญาไท,8586,8697,2022-04-29T00:00:00
953,953,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A1,สุวรรณภูมิ,4931,5184,2022-04-30T00:00:00
954,954,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A2,ลาดกระบัง,5314,5344,2022-04-30T00:00:00
955,955,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A3,บ้านทับช้าง,1201,1184,2022-04-30T00:00:00
956,956,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A4,หัวหมาก,2276,2138,2022-04-30T00:00:00
957,957,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A5,รามคำแหง,2755,2540,2022-04-30T00:00:00
958,958,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A6,มักกะสัน,4446,4494,2022-04-30T00:00:00
959,959,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A7,ราชปรารภ,1624,1457,2022-04-30T00:00:00
960,960,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A8,พญาไท,6148,6354,2022-04-30T00:00:00
961,961,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A1,สุวรรณภูมิ,5484,5065,2022-05-01T00:00:00
962,962,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A2,ลาดกระบัง,4642,4617,2022-05-01T00:00:00
963,963,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A3,บ้านทับช้าง,927,924,2022-05-01T00:00:00
964,964,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A4,หัวหมาก,1863,1828,2022-05-01T00:00:00
965,965,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A5,รามคำแหง,2299,1992,2022-05-01T00:00:00
966,966,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A6,มักกะสัน,3846,4173,2022-05-01T00:00:00
967,967,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A7,ราชปรารภ,1454,1406,2022-05-01T00:00:00
968,968,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A8,พญาไท,5291,5801,2022-05-01T00:00:00
969,969,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A1,สุวรรณภูมิ,5703,4371,2022-05-02T00:00:00
970,970,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A2,ลาดกระบัง,4697,4700,2022-05-02T00:00:00
971,971,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A3,บ้านทับช้าง,1161,1165,2022-05-02T00:00:00
972,972,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A4,หัวหมาก,2023,1990,2022-05-02T00:00:00
973,973,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A5,รามคำแหง,2256,2377,2022-05-02T00:00:00
974,974,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A6,มักกะสัน,3716,4327,2022-05-02T00:00:00
975,975,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A7,ราชปรารภ,1486,1564,2022-05-02T00:00:00
976,976,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A8,พญาไท,5843,6391,2022-05-02T00:00:00
977,977,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A1,สุวรรณภูมิ,6017,5268,2022-05-03T00:00:00
978,978,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A2,ลาดกระบัง,6453,6581,2022-05-03T00:00:00
979,979,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A3,บ้านทับช้าง,1977,1938,2022-05-03T00:00:00
980,980,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A4,หัวหมาก,3213,3134,2022-05-03T00:00:00
981,981,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A5,รามคำแหง,3559,3655,2022-05-03T00:00:00
982,982,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A6,มักกะสัน,6155,6556,2022-05-03T00:00:00
983,983,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A7,ราชปรารภ,1996,1998,2022-05-03T00:00:00
984,984,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A8,พญาไท,7839,8079,2022-05-03T00:00:00
985,985,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A1,สุวรรณภูมิ,5958,4628,2022-05-04T00:00:00
986,986,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A2,ลาดกระบัง,4538,4541,2022-05-04T00:00:00
987,987,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A3,บ้านทับช้าง,1198,1212,2022-05-04T00:00:00
988,988,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A4,หัวหมาก,2099,2193,2022-05-04T00:00:00
989,989,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A5,รามคำแหง,2542,2840,2022-05-04T00:00:00
990,990,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A6,มักกะสัน,4173,4636,2022-05-04T00:00:00
991,991,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A7,ราชปรารภ,1508,1497,2022-05-04T00:00:00
992,992,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A8,พญาไท,5421,5890,2022-05-04T00:00:00
993,993,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A1,สุวรรณภูมิ,6495,5166,2022-05-05T00:00:00
994,994,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A2,ลาดกระบัง,6807,6854,2022-05-05T00:00:00
995,995,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A3,บ้านทับช้าง,2214,2168,2022-05-05T00:00:00
996,996,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A4,หัวหมาก,3544,3428,2022-05-05T00:00:00
997,997,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A5,รามคำแหง,3737,4021,2022-05-05T00:00:00
998,998,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A6,มักกะสัน,6441,7018,2022-05-05T00:00:00
999,999,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A7,ราชปรารภ,1952,2080,2022-05-05T00:00:00
1000,1000,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A8,พญาไท,8123,8578,2022-05-05T00:00:00
1001,1001,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A1,สุวรรณภูมิ,6973,5354,2022-05-06T00:00:00
1002,1002,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A2,ลาดกระบัง,7307,7302,2022-05-06T00:00:00
1003,1003,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A3,บ้านทับช้าง,2299,2177,2022-05-06T00:00:00
1004,1004,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A4,หัวหมาก,3561,3487,2022-05-06T00:00:00
1005,1005,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A5,รามคำแหง,3869,4156,2022-05-06T00:00:00
1006,1006,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A6,มักกะสัน,6666,7515,2022-05-06T00:00:00
1007,1007,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A7,ราชปรารภ,2030,2130,2022-05-06T00:00:00
1008,1008,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A8,พญาไท,8679,9263,2022-05-06T00:00:00
1009,1009,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A1,สุวรรณภูมิ,6246,4997,2022-05-07T00:00:00
1010,1010,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A2,ลาดกระบัง,5107,5081,2022-05-07T00:00:00
1011,1011,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A3,บ้านทับช้าง,1280,1242,2022-05-07T00:00:00
1012,1012,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A4,หัวหมาก,2277,2270,2022-05-07T00:00:00
1013,1013,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A5,รามคำแหง,2508,2978,2022-05-07T00:00:00
1014,1014,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A6,มักกะสัน,4416,4782,2022-05-07T00:00:00
1015,1015,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A7,ราชปรารภ,1577,1582,2022-05-07T00:00:00
1016,1016,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A8,พญาไท,6197,6676,2022-05-07T00:00:00
1017,1017,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A1,สุวรรณภูมิ,6409,4713,2022-05-08T00:00:00
1018,1018,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A2,ลาดกระบัง,4427,4613,2022-05-08T00:00:00
1019,1019,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A3,บ้านทับช้าง,1020,1036,2022-05-08T00:00:00
1020,1020,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A4,หัวหมาก,1944,2006,2022-05-08T00:00:00
1021,1021,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A5,รามคำแหง,2311,2704,2022-05-08T00:00:00
1022,1022,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A6,มักกะสัน,3943,4578,2022-05-08T00:00:00
1023,1023,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A7,ราชปรารภ,1422,1425,2022-05-08T00:00:00
1024,1024,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A8,พญาไท,5805,6206,2022-05-08T00:00:00
1025,1025,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A1,สุวรรณภูมิ,6879,5689,2022-05-09T00:00:00
1026,1026,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A2,ลาดกระบัง,6830,6892,2022-05-09T00:00:00
1027,1027,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A3,บ้านทับช้าง,2262,2163,2022-05-09T00:00:00
1028,1028,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A4,หัวหมาก,3482,3399,2022-05-09T00:00:00
1029,1029,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A5,รามคำแหง,4046,4236,2022-05-09T00:00:00
1030,1030,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A6,มักกะสัน,6727,7436,2022-05-09T00:00:00
1031,1031,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A7,ราชปรารภ,2013,2086,2022-05-09T00:00:00
1032,1032,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A8,พญาไท,8362,8700,2022-05-09T00:00:00
1033,1033,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A1,สุวรรณภูมิ,6648,5450,2022-05-10T00:00:00
1034,1034,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A2,ลาดกระบัง,6863,6981,2022-05-10T00:00:00
1035,1035,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A3,บ้านทับช้าง,2289,2221,2022-05-10T00:00:00
1036,1036,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A4,หัวหมาก,3649,3549,2022-05-10T00:00:00
